country,ses2,score,rank,year,survey
Argentina,1.0,265.7777999999962,18.0,2000,PISA
Argentina,1.0,269.8598999999916,19.0,2000,PISA
Argentina,1.0,273.179999999993,20.0,2000,PISA
Argentina,1.0,276.8639999999892,21.0,2000,PISA
Argentina,1.0,280.07819999998725,22.0,2000,PISA
Argentina,1.0,282.3399999999965,23.0,2000,PISA
Argentina,1.0,285.11479999999744,24.0,2000,PISA
Argentina,1.0,288.8574999999946,25.0,2000,PISA
Argentina,1.0,293.1399999999994,26.0,2000,PISA
Argentina,1.0,296.30849999999464,27.0,2000,PISA
Argentina,1.0,299.8823999999912,28.0,2000,PISA
Argentina,1.0,304.0444999999901,29.0,2000,PISA
Argentina,1.0,306.80799999998857,30.0,2000,PISA
Argentina,1.0,309.9156999999929,31.0,2000,PISA
Argentina,1.0,313.4499999999901,32.0,2000,PISA
Argentina,1.0,315.41999999999825,33.0,2000,PISA
Argentina,1.0,319.049599999995,34.0,2000,PISA
Argentina,1.0,322.2824999999939,35.0,2000,PISA
Argentina,1.0,326.68919999998644,36.0,2000,PISA
Argentina,1.0,329.4899999999907,37.0,2000,PISA
Argentina,1.0,331.3389999999906,38.0,2000,PISA
Argentina,1.0,332.98619999998687,39.0,2000,PISA
Argentina,1.0,335.53199999999197,40.0,2000,PISA
Argentina,1.0,337.2168999999943,41.0,2000,PISA
Argentina,1.0,340.71559999999005,42.0,2000,PISA
Argentina,1.0,343.5264999999941,43.0,2000,PISA
Argentina,1.0,347.74279999999794,44.0,2000,PISA
Argentina,1.0,350.2894999999888,45.0,2000,PISA
Argentina,1.0,352.6691999999955,46.0,2000,PISA
Argentina,1.0,355.6399999999994,47.0,2000,PISA
Argentina,1.0,357.7107999999961,48.0,2000,PISA
Argentina,1.0,359.3840999999935,49.0,2000,PISA
Argentina,1.0,361.06999999999243,50.0,2000,PISA
Argentina,1.0,363.5370999999913,51.0,2000,PISA
Argentina,1.0,367.1239999999962,52.0,2000,PISA
Argentina,1.0,369.37429999999034,53.0,2000,PISA
Argentina,1.0,371.56859999999403,54.0,2000,PISA
Argentina,1.0,374.9499999999971,55.0,2000,PISA
Argentina,1.0,377.84719999999857,56.0,2000,PISA
Argentina,1.0,380.78129999998856,57.0,2000,PISA
Argentina,1.0,384.3683999999935,58.0,2000,PISA
Argentina,1.0,386.63219999999137,59.0,2000,PISA
Argentina,1.0,390.13599999998985,60.0,2000,PISA
Argentina,1.0,394.33719999998624,61.0,2000,PISA
Argentina,1.0,397.6791999999966,62.0,2000,PISA
Argentina,1.0,399.9360999999904,63.0,2000,PISA
Argentina,1.0,402.3219999999972,64.0,2000,PISA
Argentina,1.0,405.8099999999977,65.0,2000,PISA
Argentina,1.0,408.4525999999975,66.0,2000,PISA
Argentina,1.0,409.91999999999825,67.0,2000,PISA
Argentina,1.0,412.4687999999919,68.0,2000,PISA
Argentina,1.0,415.2543999999982,69.0,2000,PISA
Argentina,1.0,418.0199999999895,70.0,2000,PISA
Argentina,1.0,421.35999999998603,71.0,2000,PISA
Argentina,1.0,423.36879999999417,72.0,2000,PISA
Argentina,1.0,426.45569999999793,73.0,2000,PISA
Argentina,1.0,428.9975999999998,74.0,2000,PISA
Argentina,1.0,431.97749999998996,75.0,2000,PISA
Argentina,1.0,436.88599999999803,76.0,2000,PISA
Argentina,1.0,441.9699999999866,77.0,2000,PISA
Argentina,1.0,446.2773999999944,78.0,2000,PISA
Argentina,1.0,448.956199999996,79.0,2000,PISA
Argentina,1.0,452.74399999998855,80.0,2000,PISA
Argentina,1.0,456.8594999999882,81.0,2000,PISA
Argentina,1.0,461.9141999999971,82.0,2000,PISA
Argentina,1.0,465.60479999999023,83.0,2000,PISA
Argentina,1.0,469.0543999999884,84.0,2000,PISA
Argentina,1.0,472.71599999999813,85.0,2000,PISA
Argentina,1.0,475.46419999998795,86.0,2000,PISA
Argentina,1.0,477.5599999999977,87.0,2000,PISA
Argentina,1.0,485.14639999999605,88.0,2000,PISA
Argentina,1.0,490.6999999999971,89.0,2000,PISA
Argentina,1.0,494.7809999999896,90.0,2000,PISA
Argentina,1.0,501.471099999998,91.0,2000,PISA
Argentina,1.0,506.5071999999974,92.0,2000,PISA
Argentina,1.0,512.3103999999885,93.0,2000,PISA
